employee_id,name,age,role,department,salary,skills,interest,certification,PSA courses attended,job history,years of experience
21,Celene,65,Fleet Management Officer [Operations],[Operations],9234.58,"Safety protocols, Problem-solving, Leadership","Process optimization, Supply chain efficiency",Bachelor of Computing (Computer Science) [Degree],Management Skills,Safety Officer,16
22,Ailee,55,Data Analyst for Port Operations [IT],[IT],4349.64,"Problem-solving, Technical expertise, Leadership","Marine technology, Engineering innovation",Bachelor of Business Administration in Food Business Management [Degree],Interpersonal Skills,Environmental Compliance Officer,15
23,Clary,47,Compliance Officer [Admin],[Admin],10143.92,"Communication, Problem-solving, Technical expertise","Software development, Supply chain efficiency",Mechanical Engineering [Diploma],Negotiation Skills,Business Analyst,17
24,Guinevere,44,Port Planner [Operations],[Operations],7780.16,"Problem-solving, Software development, Communication","Technology advancements, Process optimization",Computer Engineering [Diploma],Negotiation Skills,Business Analyst,18
25,Maddy,31,Compliance Officer [Admin],[Admin],11933.57,"Software development, Leadership, Project management","Technology advancements, Process optimization",Biomedical Science [Diploma],Business Presentations,Inventory Manager,5
26,Orv,65,Recruitment Specialist [HR],[HR],6505.21,"Software development, Leadership, Project management","Technology advancements, Marine technology",Computer Science [Degree],Financial Literacy,Warehouse Supervisor,4
27,Tamarah,47,Harbour Master [Operations],[Operations],8997.91,"Maritime regulations, Software development, Technical expertise","Sustainability, Supply chain efficiency",Chemistry and Biological Chemistry [Degree],Time Management,Supply Chain Analyst,13
28,Khalil,47,Vessel Traffic Services Operator [Operations],[Operations],11977.16,"Project management, Software development, Problem-solving","Software development, Safety improvement",Computer Engineering [Diploma],Adaptability,Customs Broker,20
29,Marrilee,53,Marine Operations Officer [Operations],[Operations],8534.73,"Technical expertise, Problem-solving, Project management","Supply chain efficiency, Safety improvement",Bachelor of Engineering with Honours in Pharmaceutical Engineering [Degree],Time Management,Data Analyst,1
30,Burlie,42,Maritime Systems Analyst [IT],[IT],2796.14,"Project management, Technical expertise, Maritime regulations","Software development, Process optimization",Facilities Management [Diploma],Emotional Intelligence,Logistics Coordinator,11
31,Ruthann,41,IT Infrastructure Specialist [IT],[IT],8386.92,"Maritime regulations, Leadership, Problem-solving","Process optimization, Safety improvement",Business Management [Degree],Negotiation Skills,Docking Pilot,14
32,Felicity,18,Data Analyst for Port Operations [IT],[IT],8379.95,"Safety protocols, Software development, Communication","Supply chain efficiency, Software development",Bachelor of Medicine and Bachelor of Surgery [Degree],Business Presentations,Warehouse Supervisor,1
33,Lindi,65,Employee Relations Officer [HR],[HR],11665.48,"Safety protocols, Maritime regulations, Problem-solving","Supply chain efficiency, Process optimization",Business Management (Cum Laude and above) [Degree],Adaptability,Freight Forwarder,2
34,Iormina,50,Human Resource Development Specialist [HR],[HR],6692.6,"Technical expertise, Safety protocols, Leadership","Process optimization, Marine technology",Bachelor of Engineering with Honours in Marine Engineering [Degree],Adaptability,Safety Officer,9
35,Rand,63,Employee Relations Officer [HR],[HR],6612.13,"Project management, Leadership, Maritime regulations","Technology advancements, Process optimization",Bachelor of Science (Business Analytics) [Degree],Emotional Intelligence,Maritime Engineer,14
36,Clareta,30,Maritime Systems Analyst [IT],[IT],2153.73,"Safety protocols, Leadership, Technical expertise","Marine technology, Supply chain efficiency",English [Degree],Time Management,Supply Chain Analyst,2
37,Nerte,59,Maritime Safety Officer [Operations],[Operations],9684.27,"Project management, Leadership, Safety protocols","Sustainability, Supply chain efficiency",Bachelor of Law [Degree],Interpersonal Skills,Safety Officer,7
38,Spenser,23,Budget Officer [Finance],[Finance],10759.93,"Problem-solving, Software development, Safety protocols","Safety improvement, Sustainability",Landscape Architecture [Diploma],Time Management,Docking Pilot,3
39,Innis,62,Maritime Safety Officer [Operations],[Operations],5736.93,"Maritime regulations, Leadership, Project management","Software development, Sustainability",Bachelor of Science in Chemical Engineering [Degree],Management Skills,Maritime Engineer,20
40,Robbyn,39,Human Resource Development Specialist [HR],[HR],8130.86,"Technical expertise, Safety protocols, Software development","Marine technology, Engineering innovation",Facilities Management [Diploma],Time Management,Environmental Compliance Officer,11
41,Glennie,59,Maritime Safety Officer [Operations],[Operations],7309.06,"Project management, Technical expertise, Maritime regulations","Safety improvement, Sustainability",Bachelor of Dental Surgery [Degree],Business Presentations,Customs Broker,9
42,Burl,36,Fleet Management Officer [Operations],[Operations],9934.57,"Problem-solving, Project management, Technical expertise","Software development, Engineering innovation",Biological Sciences and Psychology [Degree],Critical Thinking,Data Analyst,4
43,Webster,44,Logistics Coordinator [Operations],[Operations],9048.99,"Leadership, Problem-solving, Technical expertise","Engineering innovation, Supply chain efficiency",Bachelor of Science in Electrical Engineering & Information Technology [Degree],Financial Literacy,Maritime Engineer,5
44,Avictor,59,Financial Analyst [Finance],[Finance],9440.16,"Problem-solving, Project management, Software development","Marine technology, Engineering innovation",Bachelor of Law [Degree],Leadership Skills,Logistics Coordinator,13
45,Bone,63,Human Resource Development Specialist [HR],[HR],2889.77,"Safety protocols, Problem-solving, Communication","Safety improvement, Supply chain efficiency",Nautical Studies [Diploma],Emotional Intelligence,Environmental Compliance Officer,10
46,Lilllie,30,Employee Relations Officer [HR],[HR],2926.85,"Communication, Problem-solving, Leadership","Supply chain efficiency, Marine technology",Nautical Studies [Diploma],Adaptability,Marine Operations Officer,2
47,Brantley,48,Recruitment Specialist [HR],[HR],4306.39,"Technical expertise, Safety protocols, Communication","Engineering innovation, Marine technology",Biological and Biomedical Sciences [Degree],Interpersonal Skills,Customs Broker,14
48,Agna,43,Data Analyst for Port Operations [IT],[IT],5248.67,"Project management, Problem-solving, Communication","Sustainability, Technology advancements",Bachelor of Science (Nursing) (Hons) [Degree],Business Presentations,Safety Officer,19
49,Bancroft,35,Harbour Master [Operations],[Operations],2975.5,"Safety protocols, Maritime regulations, Leadership","Marine technology, Sustainability",Bachelor in Science (Physiotherapy) [Degree],Management Skills,Marine Operations Officer,12
50,Ginger,28,Logistics Coordinator [Operations],[Operations],11997.7,"Leadership, Maritime regulations, Project management","Marine technology, Supply chain efficiency",Bachelor of Engineering (Computer Science and Design) [Degree],Time Management,Freight Forwarder,17
51,Binnie,52,Employee Relations Officer [HR],[HR],9283.39,"Project management, Leadership, Problem-solving","Safety improvement, Supply chain efficiency",Bachelor of Science (Occupational Therapy) [Degree],Financial Literacy,Transportation Planner,18
52,Gage,60,Maritime Systems Analyst [IT],[IT],6436.88,"Communication, Leadership, Maritime regulations","Supply chain efficiency, Marine technology",Psychology [Degree],Time Management,Maritime Engineer,7
53,Jyoti,20,Logistics Coordinator [Operations],[Operations],7321.63,"Software development, Leadership, Safety protocols","Sustainability, Process optimization",History [Degree],Leadership Skills,Procurement Specialist,7
54,Fiann,31,Marine Operations Officer [Operations],[Operations],8044.4,"Project management, Maritime regulations, Software development","Sustainability, Process optimization",Bachelor of Business Administration (Accountancy) (Hons) [Degree],Business Presentations,Project Manager,1
55,Addie,33,IT Infrastructure Specialist [IT],[IT],9562.12,"Communication, Software development, Leadership","Software development, Technology advancements",Bioengineering [Degree],Leadership Skills,Customs Broker,15
56,Hester,26,Fleet Management Officer [Operations],[Operations],4034.75,"Leadership, Software development, Problem-solving","Engineering innovation, Software development",Accountancy (Cum Laude and above) [Degree],Negotiation Skills,Transportation Planner,19
57,Shaun,54,Harbour Master [Operations],[Operations],11239.57,"Maritime regulations, Communication, Leadership","Supply chain efficiency, Software development",Law (Cum Laude and above) [Degree],Adaptability,Customs Broker,8
58,Kerry,22,IT Infrastructure Specialist [IT],[IT],4655.4,"Safety protocols, Maritime regulations, Leadership","Safety improvement, Process optimization",Computer Science [Degree],Leadership Skills,Docking Pilot,9
59,Caron,26,IT Infrastructure Specialist [IT],[IT],3619.71,"Project management, Communication, Technical expertise","Safety improvement, Marine technology",Civil Engineering [Degree],Leadership Skills,Supply Chain Analyst,7
60,Christina,20,Budget Officer [Finance],[Finance],9835.2,"Communication, Software development, Problem-solving","Sustainability, Engineering innovation",Chinese [Degree],Leadership Skills,Docking Pilot,18
61,Mathew,34,Maritime Safety Officer [Operations],[Operations],7604.51,"Technical expertise, Problem-solving, Maritime regulations","Software development, Supply chain efficiency",Information Systems (Cum Laude and above) [Degree],Critical Thinking,Logistics Coordinator,10
62,Michel,51,Recruitment Specialist [HR],[HR],9230.07,"Technical expertise, Problem-solving, Leadership","Safety improvement, Sustainability",Law [Degree],Interpersonal Skills,Procurement Specialist,8
63,Eadie,45,Maritime Systems Analyst [IT],[IT],4155.74,"Leadership, Safety protocols, Project management","Process optimization, Marine technology",Double Degree in Business and Computer Engineering/Computing [Degree],Management Skills,Business Analyst,6
64,Tabby,24,IT Infrastructure Specialist [IT],[IT],7037.04,"Communication, Software development, Technical expertise","Sustainability, Process optimization",Common Business Programme [Diploma],Management Skills,Project Manager,13
65,Rodi,43,Shipping and Receiving Clerk [Operations],[Operations],11016.68,"Maritime regulations, Leadership, Safety protocols","Technology advancements, Marine technology",Design and Media [Degree],Business Presentations,Maritime Engineer,19
66,Annabal,38,Harbour Master [Operations],[Operations],9788.12,"Communication, Leadership, Problem-solving","Software development, Marine technology",Bachelor of Science (Radiation Therapy) [Degree],Interpersonal Skills,Procurement Specialist,19
67,Raimund,47,Fleet Management Officer [Operations],[Operations],3137.7,"Safety protocols, Project management, Problem-solving","Software development, Sustainability",Bachelor of Science in Computer Science in Real-Time Interactive Simulation [Degree],Time Management,Environmental Compliance Officer,3
68,Emma,46,Fleet Management Officer [Operations],[Operations],11062.92,"Technical expertise, Project management, Software development","Supply chain efficiency, Safety improvement",Applied Chemistry [Diploma],Management Skills,Supply Chain Analyst,16
69,Lolita,36,Maritime Systems Analyst [IT],[IT],11288.88,"Problem-solving, Project management, Software development","Safety improvement, Software development",Bachelor of Engineering with Honours in Naval Architecture [Degree],Emotional Intelligence,Procurement Specialist,11
70,Alidia,32,Data Analyst for Port Operations [IT],[IT],2672.1,"Technical expertise, Communication, Maritime regulations","Process optimization, Technology advancements",Optometry [Diploma],Critical Thinking,Operations Manager,12
71,Minnnie,52,Compliance Officer [Admin],[Admin],9547.63,"Technical expertise, Maritime regulations, Communication","Safety improvement, Process optimization",Applied AI & Analytics [Diploma],Interpersonal Skills,Equipment Operator,20
72,Adrianne,23,Marine Operations Officer [Operations],[Operations],8263.91,"Problem-solving, Maritime regulations, Project management","Sustainability, Technology advancements",Human Resource Management with Psychology [Diploma],Adaptability,Warehouse Supervisor,14
73,Warren,19,Harbour Master [Operations],[Operations],3041.9,"Project management, Problem-solving, Software development","Process optimization, Safety improvement",Bachelor of Engineering with Honours in Aerospace Engineering [Degree],Critical Thinking,Supply Chain Analyst,5
74,Layne,22,Recruitment Specialist [HR],[HR],4962.67,"Problem-solving, Maritime regulations, Software development","Technology advancements, Marine technology",Bachelor of Engineering with Honours in Systems Engineering (ElectroMechanical Systems) [Degree],Emotional Intelligence,Shipping Clerk,8
75,Hertha,38,Human Resource Development Specialist [HR],[HR],2714.0,"Maritime regulations, Software development, Technical expertise","Marine technology, Sustainability",Common ICT Programme [Diploma],Emotional Intelligence,Marine Operations Officer,15
76,Frannie,24,Budget Officer [Finance],[Finance],6177.12,"Leadership, Communication, Problem-solving","Marine technology, Engineering innovation",Accountancy [Degree],Management Skills,Shipping Clerk,3
77,Derk,41,IT Infrastructure Specialist [IT],[IT],6597.4,"Safety protocols, Problem-solving, Maritime regulations","Process optimization, Safety improvement",Bachelor of Science in Supply Chain Management [Degree],Negotiation Skills,Maritime Engineer,12
78,Denyse,54,Vessel Traffic Services Operator [Operations],[Operations],8308.71,"Problem-solving, Software development, Communication","Software development, Sustainability",Bachelor of Science with Honours in Nursing [Degree],Critical Thinking,Marine Operations Officer,6
79,Berty,38,Marine Operations Officer [Operations],[Operations],6821.86,"Communication, Project management, Problem-solving","Marine technology, Supply chain efficiency",Law (Cum Laude and above) [Degree],Emotional Intelligence,Freight Forwarder,7
80,Nicolais,32,Maritime Safety Officer [Operations],[Operations],6427.23,"Safety protocols, Leadership, Technical expertise","Sustainability, Technology advancements",Common Engineering Programme [Diploma],Management Skills,Equipment Operator,1
81,Gray,41,Logistics Coordinator [Operations],[Operations],10071.06,"Problem-solving, Communication, Technical expertise","Technology advancements, Sustainability",Bachelor of Science in Computer Science in Real-Time Interactive Simulation [Degree],Negotiation Skills,Project Manager,2
82,Tove,59,Maritime Systems Analyst [IT],[IT],3527.31,"Technical expertise, Software development, Communication","Safety improvement, Engineering innovation",Bachelor of Law [Degree],Time Management,Shipping Clerk,4
83,Maitilde,31,Shipping and Receiving Clerk [Operations],[Operations],10771.08,"Communication, Leadership, Technical expertise","Safety improvement, Sustainability",Mathematical Sciences / Mathematical Sciences and Economics [Degree],Negotiation Skills,Operations Manager,13
84,Ricca,52,IT Infrastructure Specialist [IT],[IT],10735.27,"Maritime regulations, Technical expertise, Safety protocols","Technology advancements, Sustainability",Economics (Cum Laude and above) [Degree],Leadership Skills,Quality Assurance Specialist,15
85,Jacinta,26,Recruitment Specialist [HR],[HR],11219.28,"Communication, Software development, Project management","Software development, Marine technology",Maritime Business [Diploma],Critical Thinking,Procurement Specialist,9
86,Nancie,42,Financial Analyst [Finance],[Finance],10072.77,"Leadership, Communication, Maritime regulations","Sustainability, Engineering innovation",Common Science Programme [Diploma],Management Skills,Equipment Operator,15
87,Boigie,26,Budget Officer [Finance],[Finance],4631.63,"Leadership, Communication, Technical expertise","Safety improvement, Marine technology",Bachelor of Engineering (Biomedical Engineering) [Degree],Leadership Skills,Business Analyst,8
88,Nora,41,Maritime Safety Officer [Operations],[Operations],11917.52,"Technical expertise, Safety protocols, Project management","Software development, Marine technology",Aeronautical Engineering [Diploma],Leadership Skills,Transportation Planner,8
89,Siobhan,58,Marine Operations Officer [Operations],[Operations],10865.52,"Project management, Leadership, Software development","Process optimization, Technology advancements",Materials Engineering [Degree],Financial Literacy,Procurement Specialist,17
90,Bridgette,27,Fleet Management Officer [Operations],[Operations],4653.43,"Communication, Leadership, Maritime regulations","Sustainability, Marine technology",Bachelor of Environmental Studies [Degree],Management Skills,Docking Pilot,20
91,Erskine,30,Human Resource Development Specialist [HR],[HR],9065.04,"Problem-solving, Technical expertise, Maritime regulations","Software development, Sustainability",Bachelor of Engineering (Computer Engineering) [Degree],Leadership Skills,Business Analyst,9
92,Julie,59,Recruitment Specialist [HR],[HR],11271.89,"Software development, Safety protocols, Project management","Software development, Safety improvement",Optometry [Diploma],Adaptability,Supply Chain Analyst,1
93,Debera,34,IT Infrastructure Specialist [IT],[IT],2648.4,"Software development, Problem-solving, Leadership","Safety improvement, Software development",Bachelor of Engineering with Honours in Marine Engineering [Degree],Leadership Skills,Marine Operations Officer,10
94,Rakel,26,Port Planner [Operations],[Operations],4391.88,"Problem-solving, Software development, Maritime regulations","Engineering innovation, Software development",Bachelor of Social Work [Degree],Negotiation Skills,Equipment Operator,11
95,Hugibert,61,Shipping and Receiving Clerk [Operations],[Operations],5741.41,"Software development, Problem-solving, Technical expertise","Sustainability, Safety improvement",Bachelor of Accountancy with Honours [Degree],Management Skills,Marine Operations Officer,10
96,Gayel,65,Fleet Management Officer [Operations],[Operations],11609.37,"Leadership, Technical expertise, Maritime regulations","Supply chain efficiency, Engineering innovation",Social Sciences (Cum Laude and above) [Degree],Adaptability,Safety Officer,14
97,Iorgo,52,Harbour Master [Operations],[Operations],7932.17,"Technical expertise, Maritime regulations, Software development","Marine technology, Supply chain efficiency",Computer Science [Degree],Financial Literacy,Transportation Planner,19
98,Aretha,52,Financial Analyst [Finance],[Finance],8241.02,"Technical expertise, Problem-solving, Software development","Sustainability, Software development",Engineering with Business [Diploma],Adaptability,Inventory Manager,6
99,Dasya,58,Recruitment Specialist [HR],[HR],10067.16,"Maritime regulations, Problem-solving, Software development","Engineering innovation, Process optimization",Marine Engineering [Diploma],Interpersonal Skills,Shipping Clerk,11
100,Rea,26,Compliance Officer [Admin],[Admin],9579.16,"Maritime regulations, Problem-solving, Software development","Marine technology, Technology advancements",Bachelor of Social Sciences [Degree],Critical Thinking,Business Analyst,11
101,Malissia,65,Compliance Officer [Admin],[Admin],11797.05,"Leadership, Project management, Safety protocols","Software development, Process optimization",Bachelor of Accountancy with Honours [Degree],Financial Literacy,Quality Assurance Specialist,4
102,Nicola,61,Financial Analyst [Finance],[Finance],3407.89,"Project management, Problem-solving, Communication","Engineering innovation, Process optimization",Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering) [Degree],Negotiation Skills,Safety Officer,16
103,Pepi,45,Employee Relations Officer [HR],[HR],4106.42,"Project management, Safety protocols, Leadership","Sustainability, Safety improvement",Bioengineering [Degree],Management Skills,Equipment Operator,11
104,Mikel,36,Financial Analyst [Finance],[Finance],6218.62,"Maritime regulations, Communication, Technical expertise","Process optimization, Marine technology",Bachelor of Accountancy [Degree],Business Presentations,Project Manager,15
105,Roldan,57,Human Resource Development Specialist [HR],[HR],6267.76,"Software development, Project management, Safety protocols","Sustainability, Safety improvement",Perfumery & Cosmetic Science [Diploma],Financial Literacy,Marine Operations Officer,17
106,Chandler,50,Maritime Safety Officer [Operations],[Operations],11722.27,"Technical expertise, Maritime regulations, Safety protocols","Software development, Safety improvement",Maritime Business [Diploma],Adaptability,Business Analyst,2
107,Bing,64,Recruitment Specialist [HR],[HR],2107.34,"Leadership, Project management, Communication","Marine technology, Software development",Bachelor of Engineering (Chemical Engineering) [Degree],Critical Thinking,Maritime Engineer,15
108,Rosita,58,Shipping and Receiving Clerk [Operations],[Operations],2342.02,"Technical expertise, Safety protocols, Problem-solving","Sustainability, Supply chain efficiency",Bachelor of Engineering (Biomedical Engineering) [Degree],Financial Literacy,Maritime Engineer,16
109,Hal,53,Maritime Systems Analyst [IT],[IT],8727.83,"Problem-solving, Project management, Maritime regulations","Process optimization, Safety improvement",Bachelor of Arts (Architecture) [Degree],Management Skills,Quality Assurance Specialist,6
110,Ardis,40,Logistics Coordinator [Operations],[Operations],10387.57,"Leadership, Problem-solving, Technical expertise","Marine technology, Engineering innovation",Bachelor of Engineering with Honours in Marine Engineering [Degree],Emotional Intelligence,Supply Chain Analyst,19
111,Kinsley,59,Data Analyst for Port Operations [IT],[IT],6251.96,"Problem-solving, Communication, Leadership","Safety improvement, Software development",Media,Negotiation Skills,Docking Pilot,1
112,Cindy,35,Data Analyst for Port Operations [IT],[IT],3694.61,"Maritime regulations, Leadership, Software development","Engineering innovation, Technology advancements",Law (Cum Laude and above) [Degree],Management Skills,Marine Operations Officer,12
113,Lorelle,51,Marine Operations Officer [Operations],[Operations],9641.02,"Software development, Maritime regulations, Communication","Sustainability, Safety improvement",Bachelor of Science (Diagnostic Radiography) [Degree],Leadership Skills,Customs Broker,10
114,Jany,42,Recruitment Specialist [HR],[HR],5373.46,"Maritime regulations, Safety protocols, Leadership","Software development, Safety improvement",Common Science Programme [Diploma],Leadership Skills,Supply Chain Analyst,14
115,Gustavo,64,Recruitment Specialist [HR],[HR],11537.51,"Technical expertise, Leadership, Problem-solving","Software development, Sustainability",Bachelor of Business Administration (Hons) [Degree],Financial Literacy,Logistics Coordinator,8
116,Ernest,26,Fleet Management Officer [Operations],[Operations],3802.54,"Communication, Technical expertise, Project management","Process optimization, Marine technology",Science (with Education) [Degree],Critical Thinking,Docking Pilot,12
117,Gilberte,30,Human Resource Development Specialist [HR],[HR],7898.6,"Technical expertise, Problem-solving, Leadership","Technology advancements, Sustainability",Bachelor of Engineering (Computer Engineering) [Degree],Negotiation Skills,Business Analyst,17
118,Kirbee,25,Shipping and Receiving Clerk [Operations],[Operations],8917.16,"Leadership, Technical expertise, Problem-solving","Software development, Technology advancements",Bachelor of Computing (Information Systems) [Degree],Time Management,Warehouse Supervisor,15
119,Alexandros,60,Vessel Traffic Services Operator [Operations],[Operations],11993.63,"Software development, Safety protocols, Project management","Software development, Sustainability",Bachelor of Engineering with Honours in Civil Engineering [Degree],Business Presentations,Transportation Planner,2
120,Lodovico,24,Compliance Officer [Admin],[Admin],8447.33,"Technical expertise, Problem-solving, Safety protocols","Marine technology, Safety improvement",Bachelor of Engineering (Engineering Product Development) [Degree],Time Management,Docking Pilot,5
121,Averyl,61,Marine Operations Officer [Operations],[Operations],6707.04,"Leadership, Technical expertise, Software development","Process optimization, Software development",Materials Engineering [Degree],Business Presentations,Transportation Planner,20
122,Wheeler,48,Compliance Officer [Admin],[Admin],10667.03,"Safety protocols, Problem-solving, Maritime regulations","Safety improvement, Software development",Bachelor of Engineering (Biomedical Engineering) [Degree],Emotional Intelligence,Customs Broker,20
123,Vitoria,21,Shipping and Receiving Clerk [Operations],[Operations],5247.7,"Software development, Technical expertise, Maritime regulations","Software development, Supply chain efficiency",Business [Degree],Critical Thinking,Procurement Specialist,19
124,Philly,29,Human Resource Development Specialist [HR],[HR],3635.59,"Software development, Project management, Problem-solving","Safety improvement, Technology advancements",Bachelor of Arts [Degree],Time Management,Project Manager,15
125,Melody,38,Port Planner [Operations],[Operations],2294.59,"Project management, Communication, Software development","Marine technology, Supply chain efficiency",Bachelor of Engineering (Mechanical Engineering) [Degree],Management Skills,Quality Assurance Specialist,11
126,Brittani,35,Budget Officer [Finance],[Finance],10235.97,"Project management, Technical expertise, Software development","Engineering innovation, Sustainability",Bachelor of Science (Real Estate) [Degree],Interpersonal Skills,Shipping Clerk,1
127,Jeramey,52,Employee Relations Officer [HR],[HR],7740.15,"Leadership, Communication, Maritime regulations","Software development, Technology advancements",Computer Engineering [Degree],Interpersonal Skills,Procurement Specialist,4
128,Crin,56,Human Resource Development Specialist [HR],[HR],10296.86,"Problem-solving, Safety protocols, Maritime regulations","Process optimization, Supply chain efficiency",Food Science & Technology [Diploma],Management Skills,Logistics Coordinator,1
129,Sawyer,50,Maritime Safety Officer [Operations],[Operations],11514.78,"Technical expertise, Safety protocols, Leadership","Supply chain efficiency, Software development",Engineering with Business [Diploma],Adaptability,Safety Officer,6
130,Gardener,23,Budget Officer [Finance],[Finance],2430.29,"Safety protocols, Software development, Project management","Supply chain efficiency, Sustainability",Civil Engineering [Diploma],Time Management,Logistics Coordinator,3
131,Melisse,35,Recruitment Specialist [HR],[HR],7390.39,"Leadership, Safety protocols, Maritime regulations","Technology advancements, Software development",Media,Adaptability,Safety Officer,7
132,Rand,34,Human Resource Development Specialist [HR],[HR],2714.86,"Communication, Software development, Leadership","Safety improvement, Sustainability",Optometry [Diploma],Interpersonal Skills,Inventory Manager,13
133,Cynthea,39,Harbour Master [Operations],[Operations],9092.54,"Communication, Problem-solving, Safety protocols","Supply chain efficiency, Sustainability",Information Systems [Degree],Leadership Skills,Docking Pilot,4
134,Stace,50,Data Analyst for Port Operations [IT],[IT],4807.17,"Safety protocols, Technical expertise, Communication","Safety improvement, Sustainability",Common ICT Programme [Diploma],Critical Thinking,Operations Manager,10
135,Bank,31,Maritime Systems Analyst [IT],[IT],11141.19,"Technical expertise, Software development, Project management","Technology advancements, Engineering innovation",Civil Engineering [Degree],Negotiation Skills,Operations Manager,6
136,Coop,26,Budget Officer [Finance],[Finance],8767.98,"Safety protocols, Leadership, Technical expertise","Technology advancements, Marine technology",Bachelor of Arts (Hons) [Degree],Leadership Skills,Operations Manager,14
137,Maddalena,49,IT Infrastructure Specialist [IT],[IT],7593.85,"Project management, Problem-solving, Safety protocols","Safety improvement, Supply chain efficiency",Bachelor of Engineering (Materials Science and Engineering) [Degree],Critical Thinking,Maritime Engineer,8
138,Patricio,19,Shipping and Receiving Clerk [Operations],[Operations],9539.98,"Project management, Software development, Communication","Marine technology, Sustainability",Bachelor in Science (Physiotherapy) [Degree],Time Management,Marine Operations Officer,4
